TimeStamp,Time (s),Voltage (V),Current (A),Power (W)
13:57:51,196.311,30,0.551,16.524
13:57:52,197.323,30,0.551,16.524
13:57:53,198.355,30,0.551,16.524
13:57:54,199.367,30,0.551,16.524
13:57:55,200.376,30,0.551,16.524
13:57:56,201.393,30,0.551,16.524
13:57:57,202.405,30,0.551,16.524
13:57:58,203.416,30,0.551,16.524
13:58:00,204.432,30,0.551,16.524
13:58:01,205.457,30,0.551,16.524
13:58:02,206.465,30,0.551,16.524
13:58:03,207.476,30,0.551,16.524
13:58:04,208.516,30,0.551,16.524
13:58:05,209.525,30,0.551,16.524
13:58:06,210.536,30,0.551,16.524
13:58:07,211.574,30,0.551,16.524
13:58:08,212.585,30,0.551,16.524
13:58:09,213.592,30,0.551,16.524
13:58:10,214.633,30,0.551,16.524
13:58:11,215.638,30,0.551,16.524
13:58:12,216.648,30,0.551,16.524
13:58:13,217.689,30,0.551,16.524
13:58:14,218.701,30,0.551,16.524
13:58:15,219.709,30,0.551,16.524
13:58:16,220.75,30,0.551,16.524
13:58:17,221.759,30,0.551,16.524
13:58:18,222.767,30,0.551,16.524
13:58:19,223.808,30,0.551,16.524
13:58:20,224.816,30,0.551,16.524
13:58:21,225.826,30,0.551,16.524
13:58:22,226.868,30,0.551,16.524
13:58:23,227.879,30,0.551,16.524
13:58:24,228.887,30,0.551,16.524
13:58:25,229.926,30,0.551,16.524
13:58:26,230.937,30,0.551,16.524
13:58:27,231.943,30,0.551,16.524
13:58:28,232.963,30,0.551,16.524
13:58:29,233.975,30,0.551,16.524
13:58:30,234.984,30,0.551,16.524
13:58:31,235.994,30,0.551,16.524
13:58:32,237.028,30,0.551,16.524
13:58:33,238.039,30,0.551,16.524
13:58:34,239.048,30,0.551,16.524
13:58:35,240.087,30,0.551,16.524
13:58:36,241.095,30,0.551,16.524
13:58:37,242.104,30,0.551,16.524
13:58:38,243.145,30,0.551,16.524
13:58:39,244.157,30,0.551,16.524
13:58:40,245.167,30,0.551,16.524
13:58:41,246.183,30,0.551,16.524
13:58:42,247.193,30,0.551,16.524
13:58:43,248.205,30,0.551,16.524
13:58:44,249.221,30,0.551,16.524
13:58:45,250.265,30,0.551,16.524
13:58:46,251.276,30,0.551,16.524
13:58:47,252.286,30,0.551,16.524
13:58:48,253.323,30,0.551,16.524
13:58:49,254.334,30,0.551,16.524
13:58:50,255.341,30,0.551,16.524
13:58:51,256.382,30,0.551,16.524
13:58:52,257.392,30,0.551,16.524
13:58:53,258.404,30,0.551,16.524
13:58:55,259.441,30,0.551,16.524
13:58:56,260.45,30,0.551,16.524
13:58:57,261.46,30,0.551,16.524
13:58:58,262.5,30,0.551,16.524
13:58:59,263.511,30,0.551,16.524
13:59:00,264.524,30,0.551,16.524
13:59:01,265.558,30,0.551,16.524
13:59:02,266.567,30,0.551,16.524
13:59:03,267.577,30,0.551,16.524
13:59:04,268.617,30,0.551,16.524
13:59:05,269.628,30,0.551,16.524
13:59:06,270.635,30,0.551,16.524
13:59:07,271.675,30,0.551,16.524
13:59:08,272.687,30,0.551,16.524
13:59:09,273.699,30,0.551,16.524
13:59:10,274.734,30,0.551,16.524
13:59:11,275.744,30,0.551,16.524
13:59:12,276.755,30,0.551,16.524
13:59:13,277.772,30,0.551,16.524
13:59:14,278.779,30,0.551,16.524
13:59:15,279.792,30,0.551,16.524
